"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP6,TP2,TP12,TP17,TP1,TP13,TP8,TP3,TP11,TP14,TP5,TP16,TP7,TP9,TP10,TP4";"TestPoint_Pad_1.0x1.0mm";16;"TestPoint";;;
2;"R22";"R_0603_1608Metric";1;"10";;;
3;"U5,U1";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias";2;"DRV8833PWP";;;
4;"R27,R5,R24,R6,R16";"R_0603_1608Metric";5;"1k";;;
5;"C13,C4";"C_0603_1608Metric";2;"10uF";;;
6;"C9,C10";"C_0603_1608Metric";2;"1u";;;
7;"SW1";"Nidec_Copal_SH-7010A";1;"SW_Push";;;
8;"R9";"R_0603_1608Metric";1;"33";;;
9;"R7,R18";"R_0603_1608Metric";2;"1";;;
10;"J7,J3";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
11;"C7,C1";"C_0603_1608Metric";2;"10u";;;
12;"R15,R10";"R_0603_1608Metric";2;"100k";;;
13;"JP4,JP8,JP3,JP5,JP9,JP7,JP2,JP1,JP6";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";9;"SolderJumper_2_Open";;;
14;"R25,R23";"R_0603_1608Metric";2;"R_LIMIT";;;
15;"R3";"R_0603_1608Metric";1;"5.6k";;;
16;"RED1,GREEN1";"LED_0201_0603Metric";2;"LED";;;
17;"R12";"R_0603_1608Metric";1;"1M";;;
18;"U6";"SOIC-8_3.9x4.9mm_P1.27mm";1;"INA219AxD";;;
19;"C2,C12";"C_0603_1608Metric";2;"2.2uF";;;
20;"R19,R8";"R_0603_1608Metric";2;"0.39";;;
21;"J5";"PinHeader_1x06_P2.54mm_Horizontal";1;"B6B-PH-K-S_LF__SN_";;;
22;"C8";"C_0603_1608Metric";1;"22u";;;
23;"C14";"C_0603_1608Metric";1;"0.1u";;;
24;"C3";"C_0603_1608Metric";1;"100nF";;;
25;"R26,R17";"R_0603_1608Metric";2;"10K";;;
26;"D9";"D_2114_3652Metric";1;"D_Schottky";;;
27;"J2";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Battery";;;
28;"R20";"R_0603_1608Metric";1;"3.3k";;;
29;"R4";"R_0603_1608Metric";1;"0.4";;;
30;"R11";"R_0603_1608Metric";1;"33k";;;
31;"R2";"R_0603_1608Metric";1;"220";;;
32;"J4";"PinHeader_2x16_P2.54mm_Horizontal";1;"Conn_02x16_Odd_Even";;;
33;"Q1,Q3,Q2";"SOT-23";3;"IRLML6402";;;
34;"U3";"SOT-223-3_TabPin2";1;"AMS1117";;;
35;"C11,C6";"CP_Elec_4x3";2;"0.01uF";;;
36;"U4";"PinHeader_2x04_P2.54mm_Horizontal";1;"MP2315GJ";;;
37;"R21";"R_0603_1608Metric";1;"10k";;;
38;"C5";"CP_Elec_4x3";1;"10uF";;;
39;"J1";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";;;
40;"R13,R14";"R_0603_1608Metric";2;"5.1k";;;
41;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"TP4056";;;
42;"L1";"L_0201_0603Metric";1;"4.7u";;;
43;"R1";"R_0603_1608Metric";1;"1.2k";;;
